timestamp,cpc,cpm,is_anomaly,,average cpc,,average cpm,,cpc(normalized),cpm(normalized)
2011/7/9 9:15,0.34578125,0.722730242,TRUE,,0.135947019,,0.744137884,,0.308399323,0.043522599
2011/7/9 15:15,0.13391807,0.672810393,FALSE,,max cpc,,max cpm,,0.095495041,0.038081204
2011/7/9 17:15,0.150357747,0.730694413,FALSE,,1.034,,9.497540003,,0.112015503,0.044390715
2011/7/9 18:15,0.203111864,1.106596585,FALSE,,min cpc,,min cpm,,0.165028855,0.085365043
2011/7/9 19:15,0.130078543,0.951126681,FALSE,,0.038898848,,0.323450424,,0.091636646,0.068418413
2011/7/9 20:15,0.167640449,0.866127004,FALSE,,,,,,0.129383133,0.059153224
2011/7/9 21:15,0.113326103,0.822021986,FALSE,,,,,,0.074801884,0.054345661
2011/7/9 22:15,0.206984733,1.031459221,FALSE,,,,,,0.168920755,0.077174872
2011/7/9 23:15,0.245220126,1.165446122,FALSE,,,,,,0.207344038,0.091779797
2011/7/10 0:15,0.218996283,1.055810452,FALSE,,,,,,0.180991331,0.07982922
2011/7/10 1:15,0.175434132,0.93376998,FALSE,,,,,,0.137215114,0.066526487
2011/7/10 2:15,0.159976387,0.852321869,FALSE,,,,,,0.121681409,0.057648428
2011/7/10 3:15,0.102847737,0.562376238,FALSE,,,,,,0.064272027,0.02604359
2011/7/10 4:15,0.133527935,0.690265027,FALSE,,,,,,0.095102989,0.039983805
2011/7/10 5:15,0.130798297,0.661577266,FALSE,,,,,,0.092359937,0.036856764
2011/7/10 6:15,0.142358491,0.683708792,FALSE,,,,,,0.103976938,0.039269158
2011/7/10 7:15,0.11858685,0.585272294,FALSE,,,,,,0.080088483,0.02853932
2011/7/10 8:15,0.236731518,0.725823769,FALSE,,,,,,0.198813717,0.043859802
2011/7/10 9:15,0.135947019,1.065481908,FALSE,,,,,,0.09753396,0.080883435
2011/7/10 10:15,0.200746269,0.812296171,FALSE,,,,,,0.162651635,0.053285522
2011/7/10 11:15,0.259387755,1.150122161,FALSE,,,,,,0.221581287,0.090109445
2011/7/10 12:15,0.311612903,1.910790228,FALSE,,,,,,0.274063071,0.17302427
2011/7/10 13:15,0.317843137,1.898237602,FALSE,,,,,,0.280323921,0.171656001
2011/7/10 14:15,0.239368421,0.744137884,FALSE,,,,,,0.201463578,0.045856089
2011/7/10 15:15,0.264626168,1.36903179,FALSE,,,,,,0.226845442,0.113971172
2011/7/10 16:15,0.240777778,1.235391369,FALSE,,,,,,0.202879861,0.099404014
2011/7/10 17:15,0.228554217,1.300049686,FALSE,,,,,,0.190596233,0.106451941
2011/7/10 18:15,0.15796,1.029690406,FALSE,,,,,,0.119655114,0.076982066
2011/7/10 19:15,0.143783359,0.93253645,FALSE,,,,,,0.105408808,0.066392029
2011/7/10 20:15,0.148010949,0.931886464,FALSE,,,,,,0.109657173,0.066321179
2011/7/10 21:15,0.16090555,0.863524014,FALSE,,,,,,0.122615138,0.058869492
2011/7/10 22:15,0.145347777,0.991745182,FALSE,,,,,,0.106980914,0.072845937
2011/7/10 23:15,0.155945122,0.862854251,FALSE,,,,,,0.117630334,0.058796486
2011/7/11 0:15,0.136297468,0.747998449,FALSE,,,,,,0.097886131,0.0462769
2011/7/11 1:15,0.16415677,0.850183503,FALSE,,,,,,0.125882335,0.057415341
2011/7/11 2:15,0.124148728,0.654526696,FALSE,,,,,,0.085677692,0.036088233
2011/7/11 3:15,0.141942344,0.728679425,FALSE,,,,,,0.103558746,0.044171076
2011/7/11 4:15,0.136494118,0.690021863,FALSE,,,,,,0.098083748,0.0399573
2011/7/11 5:15,0.146881276,0.698213122,FALSE,,,,,,0.108521948,0.040850168
2011/7/11 6:15,0.535167111,0.63828083,TRUE,,,,,,0.498715831,0.034317391
2011/7/11 7:15,0.157718978,0.671747063,FALSE,,,,,,0.119412907,0.037965298
2011/7/11 8:15,0.13847512,0.641360186,FALSE,,,,,,0.100074484,0.034653049
2011/7/11 9:15,0.136170213,0.588559868,FALSE,,,,,,0.097758251,0.028897675
2011/7/11 10:15,0.275098039,4.008431112,TRUE,,,,,,0.237368772,0.401672658
2011/7/11 11:15,0.4325,2.039724288,FALSE,,,,,,0.395544211,0.187078423
2011/7/11 12:15,0.333389831,1.434196136,FALSE,,,,,,0.295947012,0.121074258
2011/7/11 13:15,0.316944444,1.509938332,FALSE,,,,,,0.279420812,0.129330357
2011/7/11 14:15,0.601511628,8.391766411,TRUE,,,,,,0.565386367,0.879467763
2011/7/11 15:15,0.395191638,1.107355354,FALSE,,,,,,0.358052515,0.085447751
2011/7/11 16:15,0.159351145,0.997729717,FALSE,,,,,,0.121053095,0.073498267
2011/7/11 17:15,0.145196472,0.838516364,FALSE,,,,,,0.106828865,0.056143592
2011/7/11 18:15,0.094378531,0.591521866,FALSE,,,,,,0.055761203,0.02922054
2011/7/11 19:15,0.093618176,0.523210749,FALSE,,,,,,0.054997112,0.021774448
2011/7/11 20:15,0.095509929,0.507413792,FALSE,,,,,,0.056898161,0.020052538
2011/7/11 21:15,0.087514846,0.538820682,FALSE,,,,,,0.04886379,0.023475972
2011/7/11 22:15,0.101887324,0.537126367,FALSE,,,,,,0.063306895,0.023291287
2011/7/11 23:15,0.093271582,0.575014048,FALSE,,,,,,0.054648815,0.027421145
2011/7/12 0:15,0.080186978,0.434892834,FALSE,,,,,,0.041499913,0.012147563
2011/7/12 1:15,0.107423208,0.568473259,FALSE,,,,,,0.068869982,0.026708181
2011/7/12 2:15,0.122129555,0.576361278,FALSE,,,,,,0.083648597,0.027567996
2011/7/12 3:15,0.118618347,0.5616658,FALSE,,,,,,0.080120134,0.02596615
2011/7/12 4:15,0.121473648,0.506676771,FALSE,,,,,,0.082989466,0.019972201
2011/7/12 5:15,0.12223931,0.53299206,FALSE,,,,,,0.083758891,0.022840637
2011/7/12 6:15,0.130082245,0.533646652,FALSE,,,,,,0.091640366,0.022911989
