timestamp,cpc(normalized),cpm(normalized),is_anomaly
2011/7/9 9:15,0.308399323,0.043522599,TRUE
2011/7/9 15:15,0.095495041,0.038081204,FALSE
2011/7/9 17:15,0.112015503,0.044390715,FALSE
2011/7/9 18:15,0.165028855,0.085365043,FALSE
2011/7/9 19:15,0.091636646,0.068418413,FALSE
2011/7/9 20:15,0.129383133,0.059153224,FALSE
2011/7/9 21:15,0.074801884,0.054345661,FALSE
2011/7/9 22:15,0.168920755,0.077174872,FALSE
2011/7/9 23:15,0.207344038,0.091779797,FALSE
2011/7/10 0:15,0.180991331,0.07982922,FALSE
2011/7/10 1:15,0.137215114,0.066526487,FALSE
2011/7/10 2:15,0.121681409,0.057648428,FALSE
2011/7/10 3:15,0.064272027,0.02604359,FALSE
2011/7/10 4:15,0.095102989,0.039983805,FALSE
2011/7/10 5:15,0.092359937,0.036856764,FALSE
2011/7/10 6:15,0.103976938,0.039269158,FALSE
2011/7/10 7:15,0.080088483,0.02853932,FALSE
2011/7/10 8:15,0.198813717,0.043859802,FALSE
2011/7/10 9:15,0.09753396,0.080883435,FALSE
2011/7/10 10:15,0.162651635,0.053285522,FALSE
2011/7/10 11:15,0.221581287,0.090109445,FALSE
2011/7/10 12:15,0.274063071,0.17302427,FALSE
2011/7/10 13:15,0.280323921,0.171656001,FALSE
2011/7/10 14:15,0.201463578,0.045856089,FALSE
2011/7/10 15:15,0.226845442,0.113971172,FALSE
2011/7/10 16:15,0.202879861,0.099404014,FALSE
2011/7/10 17:15,0.190596233,0.106451941,FALSE
2011/7/10 18:15,0.119655114,0.076982066,FALSE
2011/7/10 19:15,0.105408808,0.066392029,FALSE
2011/7/10 20:15,0.109657173,0.066321179,FALSE
2011/7/10 21:15,0.122615138,0.058869492,FALSE
2011/7/10 22:15,0.106980914,0.072845937,FALSE
2011/7/10 23:15,0.117630334,0.058796486,FALSE
2011/7/11 0:15,0.097886131,0.0462769,FALSE
2011/7/11 1:15,0.125882335,0.057415341,FALSE
2011/7/11 2:15,0.085677692,0.036088233,FALSE
2011/7/11 3:15,0.103558746,0.044171076,FALSE
2011/7/11 4:15,0.098083748,0.0399573,FALSE
2011/7/11 5:15,0.108521948,0.040850168,FALSE
